Begin Time	DL IP Throughput	The proportion of CFI=1(percent)	The proportion of CFI=2(percent)	The proportion of CFI=3(percent)	DL Average MCS
18-Jun	4.76	39.75%	52.06%	8.19%	10.13
19-Jun	4.9	40.70%	51.64%	7.65%	10.2
20-Jun	5	40.82%	51.51%	7.67%	10.23
21-Jun	4.92	40.55%	51.74%	7.71%	10.22
22-Jun	4.76	39.91%	52.00%	8.09%	10.22
23-Jun	4.78	39.80%	52.03%	8.18%	10.18
24-Jun	4.57	39.10%	52.40%	8.50%	10.15
25-Jun	4.87	39.93%	52.02%	8.05%	10.13
26-Jun	4.78	40.66%	51.50%	7.84%	10.18
27-Jun	4.88	38.83%	52.58%	8.59%	10.16
28-Jun	4.47	40.22%	51.83%	7.95%	10.22
29-Jun	4.42	40.19%	51.73%	8.09%	10.21
30-Jun	4.44	39.71%	52.09%	8.20%	10.19
01-Jul	4.52	39.95%	51.97%	8.08%	10.16
02-Jul	4.54	40.02%	51.95%	8.03%	10.16
03-Jul	4.57	40.83%	51.44%	7.72%	10.22
04-Jul	4.57	40.72%	51.44%	7.84%	10.23
05-Jul	4.87	40.32%	51.49%	8.19%	10.18
06-Jul	4.64	39.66%	51.69%	8.65%	10.17
07-Jul	5.19	56.64%	40.03%	3.33%	10.37
